Quote,Start Location,End Location,Is Quote
"""How _do_ you learn all the proper ways? I never can. Isn't that music
gay?""",65432,65508,True
"""Laurence boy.""",67004,67019,True
"""Dear me, I didn't know any one was here!""",67084,67126,True
"""Don't mind me; stay, if you like.""",67280,67315,True
"""Sha'n't I disturb you?""",67317,67341,True
"""Not a bit; I only came here because I don't know many people, and felt
rather strange at first, you know.""",67343,67450,True
"""So did I. Don't go away, please, unless you'd rather.""",67452,67507,True
"""I think I've had the pleasure of seeing you before; you live near us,
don't you?""",67604,67686,True
"""Next door""",67688,67699,True
"""We did have such a good time over your nice Christmas present.""",67947,68011,True
"""Grandpa sent it.""",68013,68031,True
"""But you put it into his head, didn't you, now?""",68033,68081,True
"""How is your cat, Miss March?""",68083,68113,True
"""Nicely, thank you, Mr. Laurence; but I am not Miss March, I'm only Jo,""",68189,68261,True
"""I'm not Mr. Laurence, I'm only Laurie.""",68288,68328,True
"""Laurie Laurence,--what an odd name!""",68330,68367,True
"""My first name is Theodore, but I don't like it, for the fellows called
me Dora, so I made them say Laurie instead.""",68369,68485,True
"""I hate my name, too--so sentimental! I wish every one would say Jo,
instead of Josephine. How did you make the boys stop calling you Dora?""",68487,68627,True
"""I thrashed 'em.""",68629,68646,True
"""I can't thrash Aunt March, so I suppose I shall have to bear it""",68648,68713,True
"""Don't you like to dance, Miss Jo?""",68753,68788,True
"""I like it well enough if there is plenty of room, and every one is
lively. In a place like this I'm sure to upset something, tread on
people's toes, or do something dreadful, so I keep out of mischief, and
let Meg sail about. Don't you dance?""",68850,69094,True
"""Sometimes; you see I've been abroad a good many years, and haven't been
into company enough yet to know how you do things here.""",69096,69225,True
"""Abroad!""",69227,69236,True
"""Oh, tell me about it! I love dearly to hear people
describe their travels.""",69247,69323,True
"""Don't I wish I'd been there!""",69614,69644,True
"""Did you go to Paris?""",69655,69677,True
"""We spent last winter there.""",69679,69708,True
"""Can you talk French?""",69710,69732,True
"""We were not allowed to speak any thing else at Vevay.""",69734,69789,True
"""Do say some! I can read it, but can't pronounce.""",69791,69841,True
