Quote,Start Location,End Location,Is Quote
"""In a changed nature; in an altered spirit; in another
atmosphere of life; another Hope as its great end. In
everything that made my love of any worth or value in your
sight. If this had never been between us,""",64677,64887,True
"""tell me,
would you seek me out and try to win me now? Ah, no!""",64950,65013,True
"""You think
not.""",65120,65136,True
"""I would gladly think otherwise if I could,""",65138,65182,True
"""Heaven knows! When I have learned a Truth like this,
I know how strong and irresistible it must be. But if you
were free to-day, to-morrow, yesterday, can even I believe
that you would choose a dowerless girl--you who, in your
very confidence with her, weigh everything by Gain: or,
choosing her, if for a moment you were false enough to your
one guiding principle to do so, do I not know that your
repentance and regret would surely follow? I do; and I
release you. With a full heart, for the love of him you
once were.""",65197,65719,True
"""You may--the memory of what is past half makes me
hope you will--have pain in this. A very, very brief time,
and you will dismiss the recollection of it, gladly, as an
unprofitable dream, from which it happened well that you
awoke. May you be happy in the life you have chosen!""",65793,66072,True
"""Spirit!""",66106,66115,True
"""show me no more! Conduct
me home. Why do you delight to torture me?""",66130,66199,True
"""One shadow more!""",66201,66219,True
"""No more!""",66242,66252,True
"""No more. I don't wish to
see it. Show me no more!""",66268,66319,True
"""Belle,""",69787,69795,True
"""I saw an old friend of yours this afternoon.""",69848,69894,True
"""Who was it?""",69896,69909,True
"""Guess!""",69911,69919,True
"""How can I? Tut, don't I know?""",69921,69952,True
"""Mr. Scrooge.""",70007,70021,True
"""Mr. Scrooge it was. I passed his office window; and as
it was not shut up, and he had a candle inside, I could
scarcely help seeing him. His partner lies upon the point
of death, I hear; and there he sat alone. Quite alone in
the world, I do believe.""",70023,70275,True
"""Spirit!""",66106,66115,True
"""remove me
from this place.""",70319,70347,True
"""I told you these were shadows of the things that have
been,""",70349,70410,True
"""That they are what they are, do
not blame me!""",70427,70474,True
"""Remove me!""",70476,70488,True
"""I cannot bear it!""",70508,70527,True
"""Leave me! Take me back. Haunt me no longer!""",70707,70752,True
"""Come in!""",75544,75554,True
"""Come in! and know
me better, man!""",75576,75611,True
"""I am the Ghost of Christmas Present,""",75800,75838,True
"""Look upon me!""",75856,75871,True
"""You have never seen the like of me before!""",76586,76630,True
"""Never,""",76654,76662,True
"""Have never walked forth with the younger members of
my family; meaning (for I am very young) my elder brothers
born in these later years?""",76691,76830,True
"""I don't think I have,""",76853,76876,True
"""I am afraid I have
not. Have you had many brothers, Spirit?""",76891,76952,True
"""More than eighteen hundred,""",76954,76983,True
"""A tremendous family to provide for!""",77001,77038,True
"""Spirit,""",77096,77105,True
"""conduct me where
you will. I went forth last night on compulsion, and I learnt
a lesson which is working now. To-night, if you have aught
to teach me, let me profit by it.""",77133,77306,True
"""Touch my robe!""",77308,77324,True
"""Is there a peculiar flavour in what you sprinkle from
your torch?""",83357,83424,True
"""There is. My own.""",83441,83460,True
"""Would it apply to any kind of dinner on this day?""",83462,83513,True
"""To any kindly given. To a poor one most.""",83530,83572,True
"""Why to a poor one most?""",83574,83599,True
"""Because it needs it most.""",83616,83643,True
"""Spirit,""",77096,77105,True
"""I wonder
you, of all the beings in the many worlds about us, should
desire to cramp these people's opportunities of innocent
enjoyment.""",83695,83832,True
"""I!""",83834,83838,True
"""You would deprive them of their means of dining every
seventh day, often the only day on which they can be said
to dine at all,""",83858,83987,True
"""Wouldn't you?""",84002,84017,True
"""I!""",83834,83838,True
"""You seek to close these places on the Seventh Day?""",84043,84095,True
"""And it comes to the same thing.""",84110,84143,True
"""I seek!""",84145,84154,True
"""Forgive me if I am wrong. It has been done in your
name, or at least in that of your family,""",84178,84272,True
"""There are some upon this earth of yours,""",84288,84330,True
